;id;type;name;first_name;second_name;picture_url;producer;country;abv;average_rating;rating_count;description.content;description.google_translation;description.original_content
61;62;gin;1947 Gin Fresa & Cereza;;;https://ginventory.reed.be/api/v2/products/62/picture?type=normal;Destilerías Rigo;Spain;40;7.1;8.0;1947 Strawberry & Cherry Gin, Artisan with a touch of juniper and sweet aromas of strawberry and cherry that make it special. ideal for preparing a gin and tonic with lemon peel, licorice or cinnamon mixed with lemon soda, and lime. Single distillation, Sevilla botanicals are used: juniper, cherry strawberry and grenadine. It is original, generous nose and soft on the palate, with notes of citrus. Clean, bright, pinkish reflection by the infusion of strawberries and cherries.;True;1947 Gin Fresa & Cereza, Artesanal con toque de enebro y dulces aromas a fresa y cereza que la hacen especial. ideal para preparar un gin-tonic con cáscara de limón, regaliz o canela, mezcla con refrescos de limón, y lima. De una sola destilación, se utilizan botánicos de Sevilla: enebro, fresa cereza y granadina. Es original, generosa en nariz y suave al paladar, con notas de cítricos. Limpia, brillante, reflejo rosáceo por la infusión de fresas y cerezas.
64;65;gin;1947 Gin Mora & Fambruesa;;;https://ginventory.reed.be/api/v2/products/65/picture?type=normal;Destilerías Rigo;Spain;40;7.3;3.0;Mora Gin & Frambruesa 1947, is a traditional gin with juniper and blackberry touch that make it unique. ideal for preparing a gin and tonic with juniper berries, licorice and cinnamon, mix well with lemon and lime soda. Our centenary distillation alembic, where macerated ingredients are mixed twenty four hours. Botanical: juniper, lemon peel and orange Seville. Unique, elegant nose and up on the palate, with sweet notes Citris and initial sweet touch.;True;1947 Gin Mora & Frambruesa, es una ginebra tradicional con toque de enebro y mora que la hacen única. ideal para prepara un gin-tonic con bayas de enebro, regaliz o canela, mezcla bien con refrescos de limón y lima. Una destilación en nuestro alambique centenario, donde se mezclan ingredientes macerados veinticuatro horas. Sus botánicos: enebro, piel de limón y de naranja sevillana. Única, elegante en nariz y sube en el paladar, con notas dulce de citris y toque dulce inicial.
66;67;gin;1947 Gin Naranja Amarga;;;https://ginventory.reed.be/api/v2/products/67/picture?type=normal;Destilerías Rigo;Spain;40;7.3;2.0;Gin Orange Amargase 1947, made from a mixture of ingredients of the Seville countryside, macerated for several days after being distilled in copper stills 100 years old. Sevillian intense aroma citrus, rose petals and inimitable touch of anise, offers good palate, with sweet touch starting by macerating botanical De subtle and pleasant taste with hints of juniper.;True;1947 Gin Naranja Amargase, elaborada a partir de una mezcla de ingredientes de la campiña sevillana, macerados varios dias para después ser destilados en alambique de cobre de 100 años de antigüedad. de aroma intenso a cítricos sevillanos, pétalos de rosa e inimitable toque de anís, ofrece buen paso de boca, con toque dulce inicial por la maceración de sus botánicos De gusto sutil y agradable con recuerdos a enebro.
67;68;gin;1st Cut Fresh Hop Gin Motueka;;;https://ginventory.reed.be/api/v2/products/68/picture?type=normal;Liquid Alchemy Distillery;New Zealand;42;6.5;2.0;"If you appreciate hops in your beer, you will cherish Liquid Alchemy hop gins. World famous sought after hops from Nelson, hop capital of New Zealand, make this gin one of a kind.
For 1st Cut Fresh Hop Gin – Motueka, Liquid Alchemy distilled the fresh citrus and tropical fruit essence of the Motueka hop variety then painstakingly blended with a half dozen traditional gin botanicals to create a mouthwatering, recognisable gin profile that nevertheless says Mot! You’ll notice obvious hop notes integrate with fresh pine flavours for an earthy but still quite bright spring blend. It’s quite smooth with an intriguing complexity for sipping, and yet still mixes quite nicely with tonic or in your favourite cocktail.
It has broad appeal with its floral, orange and vanilla notes. It’s a bit sweet and gentle like our Batch One gin, and makes a bright G&T.";False;
68;69;gin;1st Cut Fresh Hop Gin Nelson Sauvin ;;;https://ginventory.reed.be/api/v2/products/69/picture?type=normal;Liquid Alchemy Distillery;New Zealand;42;6.0;2.0;"If you appreciate hops in your beer, you will cherish Liquid Alchemy hop gins. World famous sought after hops from Nelson, hop capital of New Zealand, make this gin one of a kind.
Our third release is a fresh hop gin with berry compote and tropical fruit flavours of Nelson Sauvin hops blended with a traditional gin recipe.
Flavours of berry compote and passionfruit finish with forest notes. This gin is distilled to be smooth, complex, and versatile in cocktails particularly with lemon lime bitters.";False;
69;70;gin;1st Cut Fresh Hop Gin Wai Iti;;;https://ginventory.reed.be/api/v2/products/70/picture?type=normal;Liquid Alchemy Distillery;New Zealand;42;7.8;2.0;"If you appreciate hops in your beer, you will cherish Liquid Alchemy hop gins. World famous sought after hops from Nelson, hop capital of New Zealand, make this gin one of a kind.
Our second farm fresh hop gin features the lime peel and sweet juicy fruit flavours of Wai-Iti hops. Without a doubt this is the smoothest of all the fresh-hop gins!
You will find savoury, salty almost licorice notes alongside the trademark lime peel qualities. One fan says it made the best G&T ever, but “like a whisky – just enough tonic to open the flavours.”";False;
70;71;gin;1st Cut Gin;;;https://ginventory.reed.be/api/v2/products/71/picture?type=normal;Liquid Alchemy Distillery;New Zealand;41;7.8;6.0;1st Cut Limited Release Series Gin – Batch Two: When someone tells us you can’t improve on Nelson gin perfection, pour them a glass of our 1st Cut Limited Release series Gin – Batch Two and taste. It’s smooth, subtle, zesty and fruity. The 23 harmoniously infused botanicals will delight your palate. Welcome to craft distilling.;False;
72;73;gin;21 Bodensee Dry Gin;;;https://ginventory.reed.be/api/v2/products/73/picture?type=normal;Edelbrände Senft GmbH & Co.;Germany;44;8.4;92.0;Clear the ring for the exclusive Gin from Germany with 21 spices and fruit flavors. The Bodensee-Gin will enchant you with spicy coriander and citrus-like, slightly resinous flavor of juniper berry. The noble spirit from Germany surprised with fruity lemon and sweet dishes of Orange and the tasting slightly grape muscatel sage. You he owes his famous refreshing gentle touch in taste. Trust Herbert Senft experienced king of winemaker, he refined this German gin distillery from his excellently with the old varieties Muscat and Bacchus. As long drink with tonic in 1724 and chilled gin 21 he delighted all lovers of Gin classic. A gin and tonic with exclusive spice succeed with this distillate from Germany from Baden Bodensee.;True;"Manege frei für den exklusiven Gin aus Deutschland mit 21 Gewürz- und Fruchtaromen. Der Bodensee-Gin verzaubert Sie mit würzigem Koriander und dem zitrusähnlichem, leicht harzigen Geschmack der Wacholderbeere. Die edle Spirituose aus Deutschland überrascht mit fruchtigen Zitronen- und süßlichen Schalen der Orange sowie dem leicht nach Traube schmeckenden Muskateller-Salbei. Ihnen verdankt er seine bekannte erfrischen leichte Note im Geschmack. Vertrauen Sie Herbert Senft dem erfahrenen König der Kellermeister, er veredelt diesen deutschen Gin aus seiner Destillerie exzellent mit den alten Rebsorten Muskateller und Bacchus.
Als Longdrink mit Tonic 1724 und gekühltem Gin 21 begeistert er alle Liebhaber des Gin-Klassikers. Ein Gin Tonic mit exklusiver Würze gelingt mit diesem Destillat aus Deutschland vom badischen Bodensee."
73;74;gin;25 Elckerlijc Silver Edition Gin;;;https://ginventory.reed.be/api/v2/products/74/picture?type=normal;Heynsquared;Belgium;40;7.9;14.0;To celebrate the twenty-fifth anniversary of restaurant Elckerlijc we developed a gin with only wild herbs and berries from the immediate vicinity of the restaurant. The rural earth roads and the Drongengoedbos are indeed a paradise for native herbs, berries and mushrooms. For this very personal gin we used include porcini mushrooms, blackthorn, heather, elderberry, holly berry, water pepper, ground elder and medlar. They provide a unique taste that is particular to this soil.;True;Om de vijfentwintigste verjaardag van restaurant Elckerlijc te vieren ontwikkelden we een gin met uitsluitend wilde kruiden en bessen uit de directe omgeving van het restaurant. De landelijke aardewegen en het Drongengoedbos zijn immers een echt paradijs voor inheemse kruiden, bessen en paddenstoelen. Voor deze zeer persoonlijke gin gebruikten we onder andere eekhoorntjesbrood, sleedoorn, struikheide, vlierbloesem, hulstbes, waterpeper, zevenblad en mispel. Zij zorgen voor een unieke smaak die eigen is aan dit terroir. 
78;79;gin;27 Springs Gin;;;https://ginventory.reed.be/api/v2/products/79/picture?type=normal;High Ridge Spirits;United States;45;8.0;2.0;High Ridge Spirits is proud to offer 27 Springs Gin to our friends and neighbors - the state's first craft gin to hit the market since Prohibition lifted. Jamie Ray and our team over at the distillery hand-crafted this beauty with the South's hot, humid summers in mind. We use lemon peel to lead the flavor profile, balancing the back-notes with juniper, elderflower, locally-sourced lavender and a special blend of aromatics. We hope you enjoy this light and refreshing gin.;False;
79;80;gin;282 Gin;;;https://ginventory.reed.be/api/v2/products/80/picture?type=normal;V.D.S.;Belgium;41,8;6.7;4.0;282 Gin is made for Belgian football team Sporting Lokeren. This gin is distilled by  V.D.S in Aalst.;False;
80;81;gin;3 Bees Minnesota Dry Gin;;;https://ginventory.reed.be/api/v2/products/81/picture?type=normal;Sherwoods Winery & Distillery;United States;45;7.9;1.0;"3 Bees Minnesota Dry Gin is distilled from pure, raw, Northern Minnesota honey and vapor infused with the perfect blend of 14 botanicals. 3 Bees Gin is a smooth, balanced, aromatic and complex spirit with a soft, fresh finish. Because we do a direct distillation technique to produce our Gin, meaning we are distilling our Honey Mead and the vapors of distillation pass through a Gin Basket loaded with our botanicals, we specially picked just the right blend of herbs, nuts, and flowers that compliment with honey. Using Minnesota Honey and Water, and our process of distillation, combined with Juniper and bright fresh citrus with no added sweetness, defines what we have termed ""Minnesota Dry Gin"". There is no other like it in the world, and something truly unique to Minnesota.";False;
81;82;gin;3 Howls Good Old Fashioned;;;https://ginventory.reed.be/api/v2/products/82/picture?type=normal;3 Howls Distillery;United States;45;7.5;7.0;"Smooth and clear, this gin is handcrafted using the finest botanicals, perfectly balanced for a gin that's slightly sweet a hint of floral and with extraordinary character and complexity.
A combination of 3 Howls' favorite botanicals with the unmistakable flavor of juniper, this gin lands somewhere between a London Dry Gin and an American Dry Gin, traditional with a twist. Smooth and clear, a nose of subtle lemon is followed by a burst of juniper on the palate. This spirit is handcrafted using the finest botanicals, perfectly balanced for a gin that's slightly sweet with extraordinary character and complexity";False;
83;84;gin;3 Howls Navy Strength;;;https://ginventory.reed.be/api/v2/products/84/picture?type=normal;3 Howls Distillery;United States;57;8.4;6.0;Based on the traditional Plymouth style gin, offering an added twist with increased citrus notes and hints of spicy cinnamon on the finish. As the name suggests, this bold spirit features a higher alcohol content - coming in at 57% ABV, about 12 percent above standard gins - but retains a smooth juniper profile. Great in your standard gin and tonic, 3 Howls Navy Strength Gin adds an exciting twist to any traditional gin cocktail.;False;
84;85;gin;3&3 London Dry Gin;;;https://ginventory.reed.be/api/v2/products/85/picture?type=normal;Coronas Galicia;Spain;40;7.7;5.0;"3 & 3 is a triple distilled London Dry Gin and citrus-based selection of the three best botanical origins, among which Angelica Saxony, Bulgaria coriander, red berries, orange peel, tangerine, grapefruit and lemon Spain.
Clear and bright, with flashes of polished silver, this London Dry Gin stands out for its refreshing citrus and grapefruit, tangerine and lemon shades on delicate aromatic notes. Very soft on the palate, brings back the juniper with a fine touch of balsamic herbs. Persistent marked flavor and taste.";True;"3&3 es una London Dry Gin tridestilada de base cítrica y selección de los tres mejores orígenes botánicos, entre los que destacan Angélica de Sajonia, coriandro de Bulgaria, frutos rojos, cáscara de naranja, mandarina, pomelo y limón de España.
Cristalina y brillante, con destellos de plata pulida, esta London Dry Gin destaca por sus notas cítricas y refrescantes de pomelo, mandarina y limón, sobre delicados matices aromáticos. Muy suave en boca, retrotrae al enebro con un fino toque de hierbas balsámicas. De sabor persistente y gusto marcado."
85;86;gin;42 Orson's London Dry Gin;;;https://ginventory.reed.be/api/v2/products/86/picture?type=normal;Kastell Marken-Spirituosen GmbH;Germany;42;8.4;291.0;An unexpensive German classic Dry Gin, with juniper notes, citric flavours and hints of coriander and angelica root, making this a rather earthy gin.;False;
86;87;gin;4T4 Haagem Dry Gin;;;https://ginventory.reed.be/api/v2/products/87/picture?type=normal;4T4 Premium Gin;Belgium;44;8.6;7.0;Marketed under the name 4T4, a reference to the alcohol content in our product, our gin has a very mild flavour without placing too heavy of an emphasis on the alcohol. Take a sip of 4T4, and you will sense aromas such as juniper berries, citrus, pink grapefruit and even slight hints of coriander. 4T4 is the perfect gin for enjoying at home without having to make too much of a fuss. 4T4 is a true taste sensation. You have to try it to believe it!;False;
87;88;gin;5 Continents Hamburg Dry Gin;;;https://ginventory.reed.be/api/v2/products/88/picture?type=normal;Feingeisterei Gut Basthorst;Germany;47;7.8;249.0;"""Hamburg Dry Gin"" is a pun on ""London Dry Gin "". But in this case, ""Hamburg"" stands for the local origin and not for the style: In a ""London Dry Gin"" all botanicals are distilled together - seaking in manufacturing technology, the royal art of gin making. The word ""dry"" means in this case that the gin is not sweetened at all. The ""5 continents - Hamburg Dry Gin"" is therefore, strictly speaking, a London Dry Gin made in the Hamburg area.";False;
89;90;gin;50 Fathoms Gin;;;https://ginventory.reed.be/api/v2/products/90/picture?type=normal;Port Chilkoot Distillery;United States;45;8.0;11.0;Handcrafted along the shores of the Inside Passage, home of abundant sea life and clean, pure Alaskan water, this traditional gin is bold with a balanced juniper flavor, spruce notes, and a unique citrus finish. Distilled in small batches at the Port Chilkoot Distillery in Haines, Alaska.;False;
91;92;gin;50. Breitengrad Dry Gin;;;https://ginventory.reed.be/api/v2/products/92/picture?type=normal;Kornmayer's Manufaktur;Germany;37,5;6.5;3.0;Through the middle of Long runs of the 50th parallel, which spans the northern globe. are more cities like Vancouver, Prague, Kiev, Volgograd and the city of Mainz on him. Especially in color and flavor.;True;"Mitten durch Langen verläuft der 50. Breitengrad, der den nördlichen Globus umspannt. Auf ihm liegen weitere Metropolen wie Vancouver, Prag, Kiew, Wolgograd und der Stadt Mainz.
Besonders in Farbe und Aroma."
